type,MODELYEAR,VEHICLECLASS,Maker,Model,Fuel,FuelType,FuelConsumption_Combined,FuelConsumption_City,FuelConsumption_Highway,FuelConsumption_Combined_MPG,TotalFuelConsumption,CO2EMISSIONS,CO2PerLitre
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,10.2,11.5,8.5,28.0,58.2,235.0,4.037800687285223
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,9.6,10.5,8.5,29.0,57.6,221.0,3.8368055555555554
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,9.9,11.1,8.4,29.0,58.4,228.0,3.904109589041096
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,12.0,13.6,10.1,24.0,59.7,276.0,4.623115577889447
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,13.6,15.8,10.9,21.0,61.3,313.0,5.106035889070147
motokar,2014.0,FULL-SIZE,porsche,panamera,petrol,petrol,10.9,12.9,8.4,26.0,58.2,251.0,4.312714776632302
motokar,2014.0,MINICOMPACT,subaru,brz,petrol,petrol,8.5,9.6,7.1,33.0,58.2,196.0,3.3676975945017182
motokar,2014.0,MINICOMPACT,subaru,brz,petrol,petrol,9.6,11.0,7.9,29.0,57.5,221.0,3.8434782608695652
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
window_van,2014.0,MINIVAN,honda,odyssey,petrol,petrol,10.6,12.3,8.5,27.0,58.4,244.0,4.178082191780822
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,12.0,13.6,10.1,24.0,59.7,276.0,4.623115577889447
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,13.6,15.8,10.9,21.0,61.3,313.0,5.106035889070147
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,12.0,13.6,10.1,24.0,59.7,276.0,4.623115577889447
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,13.6,15.8,10.9,21.0,61.3,313.0,5.106035889070147
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
window_van,2014.0,MINIVAN,honda,odyssey,petrol,petrol,10.6,12.3,8.5,27.0,58.4,244.0,4.178082191780822
window_van,2014.0,MINIVAN,honda,odyssey,petrol,petrol,10.6,12.3,8.5,27.0,58.4,244.0,4.178082191780822
window_van,2014.0,MINIVAN,honda,odyssey,petrol,petrol,10.6,12.3,8.5,27.0,58.4,244.0,4.178082191780822
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.2,8.9,7.3,34.0,58.400000000000006,189.0,3.236301369863013
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.0,9.0,6.8,35.0,58.8,184.0,3.1292517006802725
jip,2014.0,SUV - SMALL,mazda,cx-5,petrol,petrol,8.6,9.6,7.4,33.0,58.6,198.0,3.378839590443686
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,10.2,11.5,8.5,28.0,58.2,235.0,4.037800687285223
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,9.6,10.5,8.5,29.0,57.6,221.0,3.8368055555555554
motokar,2014.0,TWO-SEATER,mazda,mx-5,petrol,petrol,9.9,11.1,8.4,29.0,58.4,228.0,3.904109589041096
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.1,11.6,8.3,28.0,58.0,232.0,4.0
motokar,2014.0,MINICOMPACT,porsche,911 carrera,petrol,petrol,10.7,12.5,8.6,26.0,57.8,246.0,4.256055363321799
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,12.0,13.6,10.1,24.0,59.7,276.0,4.623115577889447
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,13.6,15.8,10.9,21.0,61.3,313.0,5.106035889070147
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,12.0,13.6,10.1,24.0,59.7,276.0,4.623115577889447
jip,2014.0,SUV - STANDARD,porsche,cayenne,petrol,petrol,13.6,15.8,10.9,21.0,61.3,313.0,5.106035889070147
motokar,2014.0,MINICOMPACT,subaru,brz,petrol,petrol,8.5,9.6,7.1,33.0,58.2,196.0,3.3676975945017182
motokar,2014.0,MINICOMPACT,subaru,brz,petrol,petrol,9.6,11.0,7.9,29.0,57.5,221.0,3.8434782608695652
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.3,7.9,6.6,39.0,60.8,168.0,2.763157894736842
motokar,2014.0,COMPACT,toyota,yaris,petrol,petrol,7.1,7.8,6.3,40.0,61.2,163.0,2.6633986928104574
jip,2014.0,SUV - SMALL,volkswagen,tiguan,petrol,petrol,10.7,11.7,9.5,26.0,57.9,246.0,4.248704663212435
jip,2014.0,SUV - SMALL,volkswagen,tiguan,petrol,petrol,11.6,13.6,9.2,24.0,58.4,267.0,4.571917808219178
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
jip,2014.0,SUV - SMALL,honda,cr-v,petrol,petrol,9.1,10.3,7.6,31.0,58.0,209.0,3.603448275862069
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.6,8.5,6.6,37.0,59.7,175.0,2.931323283082077
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.0,7.9,6.0,40.0,60.9,161.0,2.6436781609195403
motokar,2014.0,COMPACT,honda,civic,petrol,petrol,7.2,8.1,6.2,39.0,60.5,166.0,2.743801652892562
